id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Pulse,Sand & Static,electronic,intense,0.88,140,0.52,0.85,0.04
12,Rainy Bookshelf,Fernwood,acoustic,relaxed,0.30,68,0.74,0.45,0.95
13,Neon Jungle,Flux Drive,electronic,moody,0.80,128,0.44,0.80,0.08
14,Sunday Slow,Petal Soft,indie pop,happy,0.55,100,0.88,0.70,0.55
15,The Long Way Home,Coastal Route,folk,relaxed,0.33,76,0.79,0.48,0.90
16,Breathe Out,Still Waters,ambient,chill,0.22,55,0.67,0.38,0.94
17,Fire Season,Ember Red,rock,intense,0.87,148,0.42,0.68,0.12
18,Glass City Nights,Violet Thread,r&b,moody,0.65,95,0.61,0.75,0.30
19,Morning Stretch,Calm Hands,acoustic,happy,0.45,88,0.85,0.52,0.88
20,Bass Drop Protocol,Circuit Nine,electronic,intense,0.95,150,0.38,0.90,0.02
